,DSI_Title,Text
0,JS_Doc2_The-Debate-About.docx,"President Joe Biden recently took a very public tumble after he tripped on a sandbag and fell while onstage at the U.S. Air Force Academy graduation. This has stirred up renewed speculation about his physical and mental fitness due to his advanced age. 



The fall comes months after he formally announced his bid for reelection in 2024. The president entered the race amid lukewarm support for his reelection bid in polls. An April NBC News poll indicated that a Biden-Trump rematch in 2024 remained unpopular among most voters. Biden's announcement may have clarified questions about his candidacy, but questions about his mental competency and advanced age still loom. The president's age remained a significant issue for nearly half of the respondents against him running for a second term. 



Biden said he respected that voters have questioned his health and mental faculties due to his age and insisted he took that into account when considering whether to run again. ""I took a hard look at it before I decided to run, and I feel good, I feel excited about the prospects,"" Biden said when asked about his age days after announcing his campaign. The most recent report from the president's physician, Dr. Kevin O'Connor, said he was ""fit for duty"" and ""fully executes all of his responsibilities without any exemptions or accommodations.""



Why is Biden's age so noteworthy?

President Biden is 80 years old; at age 78, he became the oldest person to assume the presidency in U.S. history. By the end of his term, he'll be 82. Now that Biden has officially confirmed that he's running for reelection, he would be 86 by the end of his second term, eight years older than the average life expectancy for an American male. Ronald Reagan began his second term at the age of 73 and is widely believed to have suffered from Alzheimer's toward the end of his presidency. The median age of American presidents on Inauguration Day is 55.



Is he showing signs of cognitive decline?

Not necessarily. Biden frequently stumbles over his words, but that could be at least partially because of his history with a stutter. Journalist John Hendrickson described Biden's stutter, and his lifelong struggle to control it, as the president's ""most visible weakness"" but also ""the main source of his grit and determination."" Senior care experts note that some forms of dementia can lead to stuttering and that childhood stutters sometimes reemerge among elderly people, especially if they experience an increase in confusion or anxiety.



Last year, in an op-ed for The Hill, Marc Siegel noted that ""at least 15% of those over the age of 75 have some cognitive impairment,"" that the president has several risk factors that could increase the likelihood of cognitive issues, and that the doctor's report following Biden's physical in November 2022 found ""a significant worsening in the president's gait, which in some cases can be related to degenerative disease in the brain or the spinal cord."" That report also concluded that Biden was ""fit to successfully execute the duties of the presidency.""



What are commentators saying about Biden's age? 

It might be ""deeply unfair"" to make assumptions about Biden's capacity to do his job because of his age. In his case, ""it's impossible to deny that politics and conspiracy theories, rather than facts, fuel at least some of the concern,"" The New York Times editorial board opined. Still, Biden and other candidates shouldn't pretend that ""advanced age isn't an issue."" As Biden runs for reelection, he ""will need to provide explicit reassurance to voters; many of them have seen family members decline rapidly in their 80s."" 



Democrats should see Biden's advanced age ""as a not ideal situation but one that's better than the likely alternatives,"" Matthew Cooper wrote in the Washington Monthly. While Biden's satisfactory health reports have been ""less than reassuring,"" Cooper said he has ""been able to do the job well, and he's done it in better physical shape than previous presidents who overcame worse infirmities,"" such as Ronald Reagan, Franklin D. Roosevelt and Woodrow Wilson. ""Barring a cataclysmic health decline,"" Cooper added, ""Biden will be in better shape in a second term than Reagan, FDR and certainly Wilson."" Biden's age may be ""unprecedented,"" but so would losing with his record, Cooper concluded. 



Based on his unpopularity in recent polls, The Wall Street Journal's editorial board believed the public understands ""that electing an octogenarian in obvious decline for another four years could be a historic mistake."" Asking people to elect a man who's already the oldest president to hold office ""is a risky act that borders on selfish."" While the Journal contended that the White House hides Biden's ""real physical and mental state,"" the editorial board said, ""his decline is clear to anyone who isn't willfully blind. ""



What does polling show?

When Biden was a candidate in the 2020 race, his relatively strong debate performances and pandemic-driven minimalist campaign strategy inspired confidence that, despite his age, Biden was still in full command of his faculties. Just before the 2020 election, voters ""believed [Biden] was mentally fit by a 21-point margin,"" Politico. reported.



That confidence didn't last. By November 2021, 48% of voters said Biden was mentally unfit for office. Three months later, that number was up to 54%.



About three in four Americans surveyed in the April Associated Press-NORC Center for Public Affairs Research poll would prefer Biden didn't run again. Only 47% of Democrats polled want to see Biden on the ballot, yet 41% said they would support him if he ran, and another 40% said they might. ""Interviews with poll respondents suggest that the gap reflects concerns about Biden's age,"" the AP explained, ""as well as a clamoring from a younger generation of Democrats who say they want leadership that reflects their demographic and their values."" 



In the latest Washington Post-ABC News poll, 68% of Americans surveyed said Biden was too old for a second term in office. His overall job rating also sunk to 36%, down from 42% in February. Only 34% overall felt that Biden had the mental sharpness to serve as president, and just 30% felt he had the physical fortitude needed for the role. The poll was conducted from April 28 through May 3, 2023, with 1,006 respondents and a margin of error of +/-3.5.



In an NBC poll released in April, 70% of Americans surveyed said Biden should not run for a second term in office, while just 26% said he should. Among Democrats, 51% voted against Biden seeking a second term, while 48% of those against Biden running said his age was a major factor in that stance. Former President Donald Trump, who has also officially put in his bid, didn't fare much better with the poll respondents, with 60% against him running again. The survey was taken from April 14 through 18, with 1,000 respondents and a margin of error of +/-3.1."
1,JS_Doc1_Should-Joe-Biden.docx,"Ageism is the last acceptable ‘ism.’ There is no better example of this than the mainstream media’s comfort in calling Biden out – about his age. After today’s formal announcement of his campaign, the torrent of outrage will be unleashed. It’s already been a constant, critical under-current of his presidency. The New York Times published an editorial this weekend in expectation of his re-election run, calling for him to act his age. Or at least talk about it. Would they have written anything similar about his race, his gender or his Irish heritage?

“If Mr. Biden runs again,” the NYT writes, “…questions will persist about his age until he does more to assure voters that he is up to the job.” Would they have made a similar recommendation to Obama to address his race ‘to assure voters that he was up to the job’? Or suggest to the next woman who dares run for US President that she address the questions that will just as surely persist about her gender?

The degree to which age remains a free target of attack is curious in our new era of remarkable longevity. The demographics of almost every country on the planet has been trending older. Societies are ageing fast, and the US is no exception. Science has gifted us an extra three to four decades of life expectancy in just the last century. You would think this would be something to be celebrated. The US could be proud of the vibrancy of its modern elders rather than disparage their abilities and question their competence.

But Americans are fearful. Of his age and their own future ageing. A weekend NBC poll showed a majority of people who think Biden shouldn’t run cited his age as a concern, with 48 percent saying it was a ""major concern"". The BBC interviewed some 80-year-olds who mostly seemed to resent the question, citing ageism. “The satire and the sneering about him are ageist,” says one eloquent woman. “Some people at 60 should go nowhere near political power.”

Today’s Senate, notes the NYT’s editors, is the second oldest since 1789. That makes sense, because the US invented a lot of the science that has more than doubled life expectancy since that time. They call Biden “a complete outlier” because of his age. Yet China’s Xi Jinping is 69, India’s Modi is 72, Turkey’s Erdogan is 69 and Russia’s Putin is 70. Rather than being an outlier, Biden and this bunch are examples of leadership in an age of longevity. Like or loathe their politics, at least Biden knows what he is up against. In the job he is running for, experience matters. He’s got something few Presidents before him have. Literally decades of knowledge, networks and connections. Including a deep familiarity with his global peers, allies, competitors and bogeymen.

He is, like many other knowledge workers the world over, able to continue working for many years beyond what we used to think of as retirement age. That’s a problem, not because Biden is obsolete, but because our biases are. Most employers are loathe to recruit, invest or promote older workers. They aren’t yet used to our new longevity or its multi-faceted consequences. Most aren’t even measuring it yet. Biden’s presidency has helped to redefine what older humans are capable of in the most impactful way of all. Not by talking about his age. But by doing a good job.

His first two years in office were described as “among the most productive of any president in the past half century.” He managed to push through a $1 trillion bipartisan infrastructure law - as well as the biggest package of climate measures in US history. But he’s regularly spoofed or questioned for his age, from both sides of the American political aisle. Maybe it takes an external perspective to see the benefits of Biden without the distorting debate about his age. Kind of like being a bit embarrassed about your parents’ overly familiar lapses. From the UK, The Financial Times’ Gideon Rachman wrote an article titled “Joe Biden’s claim to Presidential Greatness,” explaining that “at home and abroad he is already a formidably successful leader.”

Most of us are likely to live and work far longer than we think. Like Biden, many of us may only achieve our dreams and goals at unimaginably later ages than we had expected. Imagine what this President may yet teach us all about our own possibilities and potential with another four years."
2,JMK_Doc1_ A-Final-Report-Card-on-the-States-Response-to-COVID-19.docx,"For our unemployment measure, we looked at the cumulative months of unemployment (total unemployed over the period divided by total labor force over the period) from April 2020 to December 2021 and for each state subtracted the period of the same measure from January 2019 to February 2020. That is the raw unemployment metric. Hawaii and Nevada came in last by far because of the overwhelming impact the global shutdown of tourism had on them, and energy-heavy states similarly had disproportionate unemployment rises with the collapse of global demand. Because we considered these industry factors independent of state performance, we adjusted for industry composition. We used a regression model to perform the adjustment. Let ys denote a health or economic outcome in state s during the pandemic, such as excess mortality or the number of points that the pandemic-average unemployment rate exceeded the pre-pandemic average. Let xs denote a vector of industry composition (or health status) variables for state s, expressed as a deviation from the national average. In our baseline economic specification, the vector has two elements: the share of state employment mining (which includes energy) and the share in leisure and hospitality. To adjust a pandemic outcome from the industry composition of its economy, we use the following multivariate linear regression equation. School closures may ultimately prove to be the most costly policy decision of the pandemic era in both economic and mortality terms. One study found that school closures at the end of the previous 2019-2020 school year are associated with 13.8 million years of life lost. An NIH analysis found that life expectancy for high school graduates is 4 to 6 years longer than high school dropouts. The OECD estimates that learning losses from pandemic era school closures could cause a 3% decline in lifetime earnings, and that a loss of just one third of a year of learning has a long-term economic impact of $14 trillion. Unlike mortality or economic outcomes, closing public schools was entirely under the control of policymakers. Almost all private schools were open. There is no clear pattern in which states had high and low mortality, although we note one major study from Rand Corporation researchers found that lockdowns increased all-cause mortality to a statistically significant extent. Whether or not political leaders can be considered responsible for mortality outcomes is therefore unclear, although advocates of a ""focused protection"" strategy have suggested that sheltering the high-risk could reduce overall mortality – an approach adopted by Florida. Because COVID infection mortality risk is extremely age-related -- 8700 times higher in age 85+ than in 5 to 17, according to the CDC – we applied an age-adjustment to the number of observed deaths in each age group to bring the numbers in line with a standard U.S. population. Because CDC suppresses totals of less than 10, we combined ages less than 35, but because there are few deaths in that age range it should not affect the accuracy of the adjustment. Pandemic mortality was greater in states where obesity, diabetes, and old age were more prevalent before the pandemic. Economic activity was less in states that had been intensive in, especially, accommodations and food. Still, much residual variation in both mortality and economic activity remains even after controlling for these factors because the 50 states and DC took very different approaches to confronting the Covid pandemic. Three states stand out as having combined scores well above the others: Utah, Nebraska, and Vermont. They were substantially above average in all three categories. Six more states followed, including Montana and South Dakota almost two standard deviations above the average in terms of economy but 0.8 to 1.0 below in terms of mortality (i.e., higher death rates). New Hampshire and Maine were about 1.5 standard deviations above average on mortality while also somewhat above average economically. Although sometimes criticized as having policies that were “too open,” Florida proved to have average mortality while maintaining a high level of economic activity and 96 percent open schools. 2 While we combined the three categories using z-scores, future research could consider weights reflecting revealed preference. Philipson and Sun’s (2020) international comparisons weight economy and mortality based on the value of a statistical life, which is founded on revealed preference studies. As detailed pandemic-era migration data become available, they could also help inform how the pandemic changed the quality of life by state. As a teaser, we note that the four states with the most negative per-capita rates of net migration from July 1, 2020 to July 1, 2021 – DC, NY, IL, and CA – were all in the bottom six in terms of our composite scores (U.S. Census Bureau 2021)."
3,JMK_Doc2_Variation-in-US-states-COVID-19-policy-responses.docx,"Even as US policymakers passed important pandemic milestones, common debates around COVID-19 responses remain. What policies might implement, for how long, and whether they affect behavior all remain open questions from the beginning of the pandemic. These open questions have taken on new urgency in the US as states move to reopen amid ongoing vaccinations and hopes that the worst spikes of the winter months might be left behind—even as new variants and declining vaccination rates threaten progress gained. Substantiating patterns in states policy, inter- and intra-state variation in decision making, and policies’ relationship to external data such as vaccination rates and mobility provide starting points to these questions as the US enters a new phase of the pandemic. We have identified the first months of 2021 as a period defined by reopening and continued state control, with certain policy areas such as gathering restrictions, workplace closures, and mask wearing dropping precipitously in the new year. While federal action on COVID-19 policy remains mostly confined to updated guidance and logistical involvement in vaccine distribution, federal leadership did alter policy experiences across several indicators tracked by OxCGRT, including mask wearing, school reopening, and vaccination eligibility policies. Familiar patterns continued in state policy variation. While divergence in stringency lessened as more states moved toward phases of reopening, Northeastern and Democrat-led states maintained the most stringent policies, while Midwestern, Southern and Republican-led states making up the states with the least stringent ongoing responses. Throughout all regions, geographically-targeted policies remained common as state-wide policies were lifted, and city or county levels took center stage. Mobility data supports these trends, showing that lessened policy stringency coincided with less time at home, and more time at non-essential retail settings. Periods of high policy stringency were followed by gradual movement toward ‘normal’ mobility, hinting at possible effects of policy fatigue. In many ways, these familiar policy actions were overshadowed by 2021’s main event— vaccination campaigns. The US has remained unique in its privileged access to several effective vaccines and decentralized distribution, factors making study of its subnational rollout policies especially crucial. Vaccine eligibility policies followed similar broad patterns. December and January saw limited vaccine eligibility and accessed, focused on healthcare workers and care home residents in line with CDC guidance. But as time went on and vaccine supplies expanded, states began to diverge in their rollout specifics. Key variance occurred in definitions of essential workers, prioritizations of certain groups, and decisions about whether to pursue primarily agebased or occupation-based vaccination rollouts. And while states faced logistical and supply shortages through February and March that at times limited expansion of eligible categories, the tide began to turn toward vaccine eligibility for all 16+ individuals by the beginning of April, with all states reaching the federal deadline of April 19 for expanding eligibility to all adults in the state. This promises to remain a dynamic policy area as the world grapples with variants and inequitable vaccine access, and the US moves toward vaccinating children and fights waning interest in vaccination amid the population. 51 It is imperative to study which measures are effective (and which are not) to both limit COVID-19 spread and reduce disruption to life and livelihood. While the OxCGRT data presented is descriptive and cannot measure effectiveness of different policy measures directly, they can be useful input to studies that analyze factors affecting disease progression. OxCGRT seeks to contribute to this knowledge gap by providing efficient and simple comparisons of government interventions and individual policy actions in the US, as well as several comparable aggregate indices and risk of openness measures. These provide a starting point for building evidence-based policies and assessing effectiveness of non-pharmaceutical interventions. It is our hope that scholars, medical professionals, policymakers, and concerned citizens alike will use the OxCGRT data to inform and improve responses to the COVID-19 pandemic. The data will continue to be updated on a regular basis, and will be refined and improved over time. The most up-to-date technical documentation can always be found on our GitHub repository.43 44 We welcome constructive feedback and collaboration on this project as it evolves."
4,BW_Doc3_Climate_Existential.docx,"In his second State of the Union address, U.S. president Joe Biden briefly highlighted the threat of climate change and its hazardous impacts while providing reassurances that the country’s reliance on oil and gas would continue for “a while.”

“Let’s face reality. The climate crisis doesn’t care if you’re in a red or blue state. It’s an existential threat,” Biden said in his 7 February address. “We have an obligation, not to ourselves, but to our children and our grandchildren to confront it. I’m proud of how America at last is stepping up to the challenge.”

Climate scientists reacting to the speech were simultaneously excited that climate and environmental issues garnered a few minutes of coveted airtime and disappointed that the president did not go farther in offering solutions.

“Historic” Climate Progress

In 2022, the Biden administration passed the most ambitious climate legislation in U.S. history, the Inflation Reduction Act (IRA). The law promises a 40% reduction in carbon emissions by 2030, provides tax credits on electric vehicles, directs 40% of the benefits of those investments to communities most affected by climate impacts, and could cut the social costs of climate change by up to $1.9 billion by 2050

The 2021 Infrastructure Investment and Jobs Act and the 2022 Chips and Science Act also aim to combat climate change by investing in green energy and creating new energy-efficient infrastructure. In his address, the president touted his wins with all three pieces of climate-relevant legislation.

“President Biden has overseen more climate progress than any other U.S. president.”

“President Biden has overseen more climate progress than any other U.S. president” with these laws, said Leah Stokes, a political scientist who specializes in energy and climate politics at the University of California, Santa Barbara. She called the IRA “historic.”

Ahead of the speech, Stokes commented that “climate change is a top issue for voters.…Americans need to know how much climate progress we made in 2022, including all the money that’s now available for them to purchase clean technologies like heat pumps and electric vehicles.”

“It’s also critical that President Biden chart a course for the future,” she said. She had hoped that Biden’s address would do this, but it did not. “We want to know how he plans to pair effective IRA implementation with ambitious executive action to achieve his justice and climate goals.”

However, like other U.S. environmental policies, the IRA’s goals are still “dependent on the historical ways in which U.S. energy and infrastructure has developed” with a reliance on fossil fuels, said Andrea Simonelli, a political scientist at Virginia Commonwealth University in Richmond.

Mixed Signals

Biden mentioned some of the devastating impacts of climate change, including wildfires, flooding, storms, and drought, but also assured the nation that “we’re still going to need oil and gas for a while.” The president recently green-lighted a multibillion-dollar oil drilling project in the Alaska wilderness just after finalizing protections for the state’s Tongass National Forest"
5,FM_Doc2_What_Are_Presdent.docx,"Yet since he took office last year, the US has seen a record influx of migrants at its southern border, prompting criticism of the administration's policies from across the political spectrum.

Officials are now bracing for a potentially massive influx of migrants over the summer following the expected end of Title 42, a pandemic policy that allows migrants to be quickly expelled over concerns about spreading Covid-19.

Why the spike under Biden?

While the number of migrants at the border has been steadily increasing since April 2020, the numbers spiked sharply after Mr Biden took office.

How do they get into the US?

Migrants cross the border in one of two ways. Those who believe they ""have suffered persecution or fear that they will suffer persecution"" in their home country are eligible to apply for asylum when they present themselves at a port of entry for admission into the US.

According to the Pew Research Center, at least 40% of unauthorised migrants in the country entered legally on short-term visas and overstayed.

Biden defends a Trump policy

On Covid, Mr Biden had kept a Trump-era emergency policy to automatically expel almost all undocumented migrants seeking entry, bypassing normal immigration laws and protections.

The policy - known as Title 42 - was aimed at preventing the spread of Covid-19 in holding facilities, officials said.

The measure sparked controversy within his party.

After twice extending it, the US Centers for Disease Control and Prevention (CDC) decided to end the policy on 23 May. The CDC said it was ""no longer necessary"" to maintain Title 42 given the current, more favourable public health outlook in the US.

Remain in Mexico policy

On Mr Biden's first day in office, his administration suspended a controversial Trump-era policy that forced asylum seekers to wait in Mexico for their US immigration hearings.

Since it was introduced in January 2019, about 70,000 migrants were enrolled in the programme informally known as Remain in Mexico.

But a ruling by a Trump-appointed federal court judge in Texas found that the administration had improperly cancelled the policy so it was restarted in December.

The US Supreme Court is expected to make a decision on its future later this week.

Separating families

One of the most substantive changes in border policy under Mr Biden has been a shift in how the government deals with migrant families.

A so-called ""zero-tolerance"" policy under Mr Trump meant families divided by US authorities, in some cases with parents being deported back to their home countries without their children.

Mr Biden has reversed that specific practice, and some families - but not all - have been reunited.

A task force set up by the president estimated that 3,913 children had been separated from their parents.

As of November, authorities were still trying to reach the parents of 270 children separated from their families, according to a court filing.

Unaccompanied children

As mandated by US anti-trafficking laws, Mr Biden's administration has been transferring non-Mexican minors to shelters overseen by the government."
